Suositeltu yleiskielinen nimi	Tieteellinen nimi	Uhanalaisuusluokka	Tunniste	Suomenkielinen nimi
	Atomaria nitidula	LC (2019)	MX.194110	
	Atomaria fulvipennis	NT (2019)	MX.194113	
	Atomaria rubida	RE (2019)	MX.194115	
	Atomaria rubricollis	NT (2019)	MX.194116	
	Atomaria hislopi	LC (2019)	MX.194117	
	Atomaria turgida	LC (2019)	MX.194119	
	Atomaria apicalis	LC (2019)	MX.194120	
	Atomaria testacea	LC (2019)	MX.194121	
	Atomaria impressa	LC (2019)	MX.194123	
	Atomaria fimetarii	LC (2019)	MX.194124	
	Atomaria umbrina	LC (2019)	MX.194125	
	Atomaria diluta	NA (2019)	MX.194127	
	Atomaria pulchra	LC (2019)	MX.194128	
	Atomaria lapponica	NT (2019)	MX.194130	
	Atomaria sparreschneideri	LC (2019)	MX.194131	
	Atomaria nigriventris	RE (2019)	MX.194132	
	Atomaria puncticollis	LC (2019)	MX.194135	
	Atomaria nigrirostris	LC (2019)	MX.194136	
	Atomaria linearis		MX.194138	
	Atomaria alpina	LC (2019)	MX.194139	
	Atomaria subangulata	LC (2019)	MX.194140	
	Atomaria abietina	LC (2019)	MX.194141	
	Atomaria bescidica	LC (2019)	MX.194143	
	Atomaria grossepunctata	VU (2019)	MX.194144	
	Atomaria badia	LC (2019)	MX.194146	
	Atomaria elongatula	LC (2019)	MX.194148	
	Atomaria affinis	LC (2019)	MX.194149	
	Atomaria pseudaffinis	NT (2019)	MX.4884558	
	Atomaria bella	LC (2019)	MX.194151	
	Atomaria wollastoni	LC (2019)	MX.194153	
havuhilvekäs	Atomaria vespertina	LC (2019)	MX.194154	havuhilvekäs
	Atomaria atrata	LC (2019)	MX.194157	
	Atomaria gracilicornis	RE (2019)	MX.194158	
	Atomaria strandi	RE (2019)	MX.194159	
	Atomaria longicornis	LC (2019)	MX.194160	
	Atomaria ihsseni	NT (2019)	MX.194162	
	Ootypus globosus	LC (2019)	MX.194165	
	Ephistemus globulus	LC (2019)	MX.194167	
	Ephistemus reitteri	LC (2019)	MX.4884561	
	Sphindus dubius	LC (2019)	MX.193433	
	Aspidiphorus orbiculatus	LC (2019)	MX.193435	
niittykiillokas	Kateretes pedicularius	LC (2019)	MX.193439	niittykiillokas
	Kateretes pusillus	LC (2019)	MX.193440	
seljakiillokas	Heterhelus scutellaris	LC (2019)	MX.193445	seljakiillokas
nokkoskuoriainen	Brachypterus urticae	LC (2019)	MX.193447	nokkoskuoriainen
viholaiskuoriainen	Brachypterus glaber	LC (2019)	MX.193450	viholaiskuoriainen
	Brachypterolus pulicarius	LC (2019)	MX.193452	
	Brachypterolus linariae	LC (2019)	MX.193453	
	Carpophilus ligneus	NA (2019)	MX.193461	
	Carpophilus dimidiatus	NA (2019)	MX.193462	
	Carpophilus marginellus	LC (2019)	MX.193466	
mehukuoriainen	Carpophilus hemipterus	LC (2019)	MX.193468	mehukuoriainen
	Epuraea melanocephala	LC (2019)	MX.193471	
kirjokonnakas	Epuraea guttata	NT (2019)	MX.193472	kirjokonnakas
	Epuraea hilleri	LC (2019)	MX.193474	
	Epuraea neglecta	LC (2019)	MX.193477	
metsäkonnakas	Epuraea pallescens	LC (2019)	MX.193478	metsäkonnakas
havutikaskonnakas	Epuraea laeviuscula	LC (2019)	MX.193481	havutikaskonnakas
lehtitikaskonnakas	Epuraea rufobrunnea	LC (2019)	MX.193482	lehtitikaskonnakas
soukkakonnakas	Epuraea deubeli	LC (2019)	MX.193483	soukkakonnakas
kirjanpainajakonnakas	Epuraea thoracica	LC (2019)	MX.193484	kirjanpainajakonnakas
kapokonnakas	Epuraea angustula	LC (2019)	MX.193485	kapokonnakas
	Epuraea oblonga	LC (2019)	MX.193486	
	Epuraea longipennis	LC (2019)	MX.193487	
	Epuraea fussii	LC (2019)	MX.193490	
pohjankonnakas	Epuraea boreella	LC (2019)	MX.193492	pohjankonnakas
	Epuraea opalizans	LC (2019)	MX.193493	
soikokonnakas	Epuraea marseuli	LC (2019)	MX.193495	soikokonnakas
	Epuraea pygmaea	LC (2019)	MX.193499	
	Epuraea longula	DD (2019)	MX.193500	
	Epuraea binotata	LC (2019)	MX.193501	
	Epuraea placida	LC (2019)	MX.193502	
	Epuraea terminalis	LC (2019)	MX.193503	
	Epuraea longiclavis	LC (2019)	MX.193506	
	Epuraea distincta	DD (2019)	MX.193507	
	Epuraea biguttata	LC (2019)	MX.193510	
	Epuraea unicolor	LC (2019)	MX.193511	
	Epuraea variegata	LC (2019)	MX.193513	
	Epuraea muehli	LC (2019)	MX.193514	
	Epuraea silacea	LC (2019)	MX.193515	
niittykonnakas	Epuraea aestiva	LC (2019)	MX.193517	niittykonnakas
	Epuraea melina	LC (2019)	MX.193519	
	Epuraea rufomarginata	LC (2019)	MX.193520	
	Epuraea contractula	LC (2019)	MX.193521	
sysikonnakas	Epuraea silesiaca	NT (2019)	MX.193523	sysikonnakas
	Epuraea limbata	LC (2019)	MX.193524	
	Pria dulcamarae	LC (2019)	MX.193528	
	Meligethes denticulatus	LC (2019)	MX.193531	
	Meligethes atratus	LC (2019)	MX.193533	
	Meligethes flavimanus	LC (2019)	MX.193534	
	Meligethes substrigosus	LC (2019)	MX.193536	
	Meligethes subrugosus	LC (2019)	MX.193538	
	Meligethes corvinus	LC (2019)	MX.193540	
	Meligethes subaeneus	LC (2019)	MX.193542	
	Meligethes cardaminicola	NT (2019)	MX.4884739	
illakkokiillokas	Meligethes matronalis	NA (2019)	MX.193543	illakkokiillokas
	Meligethes coracinus	LC (2019)	MX.193544	
rentukkakiillokas	Meligethes coeruleivirens	LC (2019)	MX.193545	rentukkakiillokas
rapsikuoriainen	Meligethes aeneus	LC (2019)	MX.193546	rapsikuoriainen
retikkakuoriainen	Meligethes viridescens	LC (2019)	MX.193548	retikkakuoriainen
mäkiminttukiillokas	Meligethes bidens	VU (2019)	MX.193549	mäkiminttukiillokas
	Meligethes sulcatus	NA (2019)	MX.193550	
	Meligethes difficilis	LC (2019)	MX.193552	
pähkämökiillokas	Meligethes ochropus	LC (2019)	MX.193554	pähkämökiillokas
	Meligethes morosus	LC (2019)	MX.193555	
	Meligethes brunnicornis	NT (2019)	MX.193556	
pillikekiillokas	Meligethes pedicularius	LC (2019)	MX.193561	pillikekiillokas
	Meligethes serripes	NA (2019)	MX.193563	
	Meligethes ruficornis	NA (2019)	MX.193565	
maahumalakiillokas	Meligethes ovatus	LC (2019)	MX.193567	maahumalakiillokas
niittyhumalakiillokas	Meligethes umbrosus	LC (2019)	MX.193570	niittyhumalakiillokas
nummikiillokas	Meligethes exilis	EN (2019)	MX.193574	nummikiillokas
ajuruohokiillokas	Meligethes lugubris	LC (2019)	MX.193575	ajuruohokiillokas
	Meligethes gagathinus	DD (2019)	MX.193576	
	Meligethes egenus	NA (2019)	MX.193578	
maitekiillokas	Meligethes carinulatus	LC (2019)	MX.193579	maitekiillokas
	Meligethes nigrescens	NA (2019)	MX.193582	
	Meligethes planiusculus		MX.193584	
	Meligethes tristis	NA (2019)	MX.193585	
laakaveistiäinen	Omosita depressa	LC (2019)	MX.193588	laakaveistiäinen
pikkuveistiäinen	Omosita colon	LC (2019)	MX.193590	pikkuveistiäinen
täpläveistiäinen	Nitidula bipunctata	LC (2019)	MX.193592	täpläveistiäinen
ruskoveistiäinen	Nitidula rufipes	VU (2019)	MX.193593	ruskoveistiäinen
	Nitidula carnaria		MX.193594	
	Amphotis marginata		MX.193596	
isorosokas	Soronia punctatissima	LC (2019)	MX.193598	isorosokas
harmorosokas	Soronia grisea	LC (2019)	MX.193599	harmorosokas
kelomäihiäinen	Ipidia binotata	LC (2019)	MX.193601	kelomäihiäinen
aarnimäihiäinen	Ipidia sexguttata	CR (2019)	MX.193605	aarnimäihiäinen
ruskohälvekäs	Pocadius ferrugineus	LC (2019)	MX.193607	ruskohälvekäs
	Thalycra fervida	LC (2019)	MX.193614	
mustahälvekäs	Cyllodes ater	LC (2019)	MX.193616	mustahälvekäs
isohälvekäs	Cychramus variegatus	LC (2019)	MX.193618	isohälvekäs
silkkihälvekäs	Cychramus luteus	LC (2019)	MX.193620	silkkihälvekäs
juomumäihiäinen	Cryptarcha strigata	NT (2019)	MX.193623	juomumäihiäinen
pikkumäihiäinen	Cryptarcha undata	VU (2019)	MX.193624	pikkumäihiäinen
lehtomäihiäinen	Glischrochilus quadriguttatus	RE (2019)	MX.193627	lehtomäihiäinen
	Glischrochilus grandis	NA (2019)	MX.193628	
kuperamäihiäinen	Glischrochilus hortensis	LC (2019)	MX.193629	kuperamäihiäinen
litteämäihiäinen	Glischrochilus quadripunctatus	LC (2019)	MX.193631	litteämäihiäinen
	Glischrochilus tremulae	LC (2019)	MX.4884748	
kaarnamäihiäinen	Pityophagus ferrugineus	LC (2019)	MX.193633	kaarnamäihiäinen
	Cybocephalus politus	LC (2019)	MX.193636	
vaskikaarniainen	Rhizophagus aeneus	EN (2019)	MX.193640	vaskikaarniainen
ukkokaarniainen	Rhizophagus grandis	LC (2019)	MX.193642	ukkokaarniainen
lattakaarniainen	Rhizophagus depressus	LC (2019)	MX.193643	lattakaarniainen
ruostekaarniainen	Rhizophagus ferrugineus	LC (2019)	MX.193644	ruostekaarniainen
kalmistokaarniainen	Rhizophagus parallelocollis	LC (2019)	MX.193645	kalmistokaarniainen
	Rhizophagus perforatus	NA (2019)	MX.193646	
	Rhizophagus picipes	LC (2019)	MX.193647	
havukaarniainen	Rhizophagus dispar	LC (2019)	MX.193648	havukaarniainen
lehtikaarniainen	Rhizophagus bipustulatus	LC (2019)	MX.193649	lehtikaarniainen
	Rhizophagus nitidulus	LC (2019)	MX.193650	
vähäkaarniainen	Rhizophagus fenestralis	LC (2019)	MX.193652	vähäkaarniainen
haapakaarniainen	Rhizophagus cribratus	LC (2019)	MX.193654	haapakaarniainen
ventokaarniainen	Rhizophagus puncticollis	RE (2019)	MX.193655	ventokaarniainen
	Monotoma brevicollis	LC (2019)	MX.193188	
	Monotoma bicolor	LC (2019)	MX.193189	
	Monotoma quadricollis	LC (2019)	MX.193190	
	Monotoma testacea	NT (2019)	MX.193192	
	Monotoma longicollis	LC (2019)	MX.193193	
	Monotoma conicicollis	LC (2019)	MX.193659	
	Monotoma angusticollis	LC (2019)	MX.193660	
	Monotoma spinicollis	NT (2019)	MX.193661	
	Monotoma picipes	LC (2019)	MX.193662	
	Cryptophilus propinquus		MX.194173	
	Cryptophilus obliteratus	NA (2019)	MX.194174	
jurokuoriainen	Zavaljus brunneus	NT (2019)	MX.194178	jurokuoriainen
	Dacne bipustulata	LC (2019)	MX.194185	
laidunsieniäinen	Combocerus glaber	EN (2019)	MX.194188	laidunsieniäinen
	Tritoma bipustulata	LC (2019)	MX.194192	
	Triplax aenea	LC (2019)	MX.194196	
isohelysieniäinen	Triplax russica	LC (2019)	MX.194197	isohelysieniäinen
	Triplax scutellaris	LC (2019)	MX.194198	
pulskahelysieniäinen	Triplax rufipes	LC (2019)	MX.194199	pulskahelysieniäinen
vattukuoriainen	Byturus tomentosus	LC (2019)	MX.194202	vattukuoriainen
kellukkakuoriainen	Byturus ochraceus	LC (2019)	MX.194203	kellukkakuoriainen
saarnisieniäinen	Biphyllus lunatus	RE (2019)	MX.194207	saarnisieniäinen
aarnikätkä	Bothrideres bipunctatus	CR (2019)	MX.194222	aarnikätkä
sysikerri	Cerylon fagi	LC (2019)	MX.194226	sysikerri
mustakerri	Cerylon histeroides	LC (2019)	MX.194227	mustakerri
ruostekerri	Cerylon ferrugineum	LC (2019)	MX.194228	ruostekerri
lovikerri	Cerylon impressum	LC (2019)	MX.194229	lovikerri
laakakerri	Cerylon deplanatum	LC (2019)	MX.194230	laakakerri
kupusieniäinen	Sphaerosoma pilosum	LC (2019)	MX.194234	kupusieniäinen
	Holoparamecus caularum		MX.194239	
lahosieniäinen	Leiestes seminigra	LC (2019)	MX.194242	lahosieniäinen
pirkkosieniäinen	Endomychus coccineus	LC (2019)	MX.194245	pirkkosieniäinen
vyösieniäinen	Lycoperdina succincta	EN (2019)	MX.194249	vyösieniäinen
ristisieniäinen	Mycetina cruciata	NA (2019)	MX.194251	ristisieniäinen
latosieniäinen	Mycetaea subterranea	LC (2019)	MX.194254	latosieniäinen
rytipirkko	Coccidula scutellata	LC (2019)	MX.194263	rytipirkko
rusopirkko	Coccidula rufa	LC (2019)	MX.194264	rusopirkko
ansaripirkko	Cryptolaemus montrouzieri	NA (2019)	MX.194269	ansaripirkko
punkkipirkko	Stethorus pusillus	LC (2019)	MX.194273	punkkipirkko
mäntypikkupirkko	Scymnus nigrinus	LC (2019)	MX.194280	mäntypikkupirkko
löylypikkupirkko	Scymnus suffrianoides	DD (2019)	MX.194281	löylypikkupirkko
löylypikkopirkko (alalaji apetzoides)	Scymnus suffrianoides apetzoides	DD (2019)	MX.194283	löylypikkopirkko (alalaji apetzoides)
ketopikkupirkko	Scymnus frontalis	LC (2019)	MX.194285	ketopikkupirkko
rinnepikkupirkko	Scymnus schmidti	LC (2019)	MX.194286	rinnepikkupirkko
pohjanpikkupirkko	Scymnus jakowlewi	DD (2019)	MX.194289	pohjanpikkupirkko
paahdepikkupirkko	Scymnus rubromaculatus	DD (2019)	MX.194291	paahdepikkupirkko
ahopikkupirkko	Scymnus femoralis	LC (2019)	MX.194292	ahopikkupirkko
kuusipikkupirkko	Scymnus abietis	LC (2019)	MX.194293	kuusipikkupirkko
tuomipikkupirkko	Scymnus ferrugatus	LC (2019)	MX.194294	tuomipikkupirkko
lehtopikkupirkko	Scymnus auritus	LC (2019)	MX.194295	lehtopikkupirkko
juovapikkupirkko	Scymnus suturalis	LC (2019)	MX.194297	juovapikkupirkko
pensaspikkupirkko	Scymnus haemorrhoidalis	LC (2019)	MX.194301	pensaspikkupirkko
pajupikkupirkko	Scymnus limbatus	LC (2019)	MX.194302	pajupikkupirkko
rahkapikkupirkko	Scymnus fennicus	LC (2019)	MX.194303	rahkapikkupirkko
läiskäpikkupirkko	Nephus redtenbacheri	LC (2019)	MX.194305	läiskäpikkupirkko
limopikkupirkko	Nephus limonii	NT (2019)	MX.194306	limopikkupirkko
konupikkupirkko	Nephus jacobsoni	DD (2019)	MX.194307	konupikkupirkko
viitapikkupirkko	Nephus bipunctatus	LC (2019)	MX.194310	viitapikkupirkko
hietapikkupirkko	Nephus bisignatus	LC (2019)	MX.194311	hietapikkupirkko
surupirkko	Hyperaspis concolor	VU (2019)	MX.194314	surupirkko
jarrupirkko	Hyperaspis pseudopustulata	LC (2019)	MX.194316	jarrupirkko
paistepirkko	Platynaspis luteorubra	EN (2019)	MX.194322	paistepirkko
kaksitäpläpirkko	Chilocorus bipustulatus	LC (2019)	MX.194325	kaksitäpläpirkko
kuutäpläpirkko	Chilocorus renipustulatus	LC (2019)	MX.194326	kuutäpläpirkko
nelitäpläpirkko	Exochomus quadripustulatus	LC (2019)	MX.194328	nelitäpläpirkko
mustatäpläpirkko	Parexochomus nigromaculatus	NA (2019)	MX.194329	mustatäpläpirkko
tuomipisarpirkko	Halyzia sedecimguttata	LC (2019)	MX.194335	tuomipisarpirkko
ahopirkko	Psyllobora vigintiduopunctata	LC (2019)	MX.194338	ahopirkko
mantupirkko	Tytthaspis sedecimpunctata		MX.194341	mantupirkko
seulapirkko	Coccinula quatuordecimpustulata	LC (2019)	MX.194343	seulapirkko
kosteikkopirkko	Anisosticta novemdecimpunctata	LC (2019)	MX.194345	kosteikkopirkko
jänkäpirkko	Anisosticta strigata	NT (2019)	MX.194346	jänkäpirkko
luhtapirkko	Sospita vigintiguttata	LC (2019)	MX.194349	luhtapirkko
soikopisarpirkko	Myzia oblongoguttata	LC (2019)	MX.194352	soikopisarpirkko
närepirkko	Myrrha octodecimguttata	LC (2019)	MX.194354	närepirkko
ruutupirkko	Propylea quatuordecimpunctata	LC (2019)	MX.194356	ruutupirkko
lehmuspisarpirkko	Calvia decemguttata	LC (2019)	MX.194358	lehmuspisarpirkko
pensaspisarpirkko	Calvia quatuordecimguttata	LC (2019)	MX.194359	pensaspisarpirkko
leppäpisarpirkko	Calvia quindecimguttata	RE (2019)	MX.194360	leppäpisarpirkko
isopirkko	Anatis ocellata	LC (2019)	MX.194362	isopirkko
pihkapirkko	Aphidecta obliterata	LC (2019)	MX.194364	pihkapirkko
halmepirkko	Hippodamia tredecimpunctata	LC (2019)	MX.194367	halmepirkko
vainiopirkko	Hippodamia septemmaculata	LC (2019)	MX.194368	vainiopirkko
tunturipirkko	Hippodamia arctica	LC (2019)	MX.194369	tunturipirkko
nummipirkko	Hippodamia variegata	LC (2019)	MX.194370	nummipirkko
idänpirkko	Ceratomegilla notata	LC (2019)	MX.194373	idänpirkko
meripirkko	Coccinella undecimpunctata	LC (2019)	MX.194376	meripirkko
kolmivyöpirkko	Coccinella trifasciata	LC (2019)	MX.194379	kolmivyöpirkko
seitsenpistepirkko	Coccinella septempunctata	LC (2019)	MX.194380	seitsenpistepirkko
ahdepirkko	Coccinella magnifica	LC (2019)	MX.194381	ahdepirkko
kanervapirkko	Coccinella hieroglyphica	LC (2019)	MX.194384	kanervapirkko
viisipistepirkko	Coccinella quinquepunctata	LC (2019)	MX.194385	viisipistepirkko
lehtopirkko	Oenopia conglobata	LC (2019)	MX.194388	lehtopirkko
ryhmikköpirkko	Adalia conglomerata	LC (2019)	MX.194390	ryhmikköpirkko
kaksipistepirkko	Adalia bipunctata	LC (2019)	MX.194391	kaksipistepirkko
kaksipistepirkko (alalaji bipunctata)	Adalia bipunctata bipunctata	LC (2019)	MX.194392	kaksipistepirkko (alalaji bipunctata)
lapinpistepirkko	Adalia bipunctata frigida	LC (2019)	MX.194393	lapinpistepirkko
kymmenpistepirkko	Adalia decempunctata	LC (2019)	MX.194394	kymmenpistepirkko
havupirkko	Harmonia quadripunctata	NA (2019)	MX.194396	havupirkko
harlekiinipirkko	Harmonia axyridis	NA (2019)	MX.194399	harlekiinipirkko
neilikkapirkko	Subcoccinella vigintiquatuorpunctata	LC (2019)	MX.194403	neilikkapirkko
pallopirkko	Cynegetis impunctata	LC (2019)	MX.194407	pallopirkko
	Orthoperus brunnipes	LC (2019)	MX.194411	
	Orthoperus punctatus	LC (2019)	MX.194415	
	Orthoperus rogeri	LC (2019)	MX.194416	
	Orthoperus atomus	LC (2019)	MX.194418	
	Orthoperus corticalis	LC (2019)	MX.194419	
	Orthoperus nikitskyi		MX.5104208	
tylppäkilpukkainen	Clypastraea pusilla	LC (2019)	MX.194425	tylppäkilpukkainen
laakakilpukkainen	Arthrolips obscura	RE (2019)	MX.194427	laakakilpukkainen
lattakilpukkainen	Sericoderus lateralis	LC (2019)	MX.194430	lattakilpukkainen
	Sericoderus brevicornis		MX.5013671	
	Corylophus cassidoides	NA (2019)	MX.194433	
sukanärviäinen	Latridius hirtus	LC (2019)	MX.194444	sukanärviäinen
kääpänärviäinen	Latridius consimilis	LC (2019)	MX.194445	kääpänärviäinen
ripenärviäinen	Latridius porcatus	LC (2019)	MX.194446	ripenärviäinen
rojunärviäinen	Latridius minutus	LC (2019)	MX.194448	rojunärviäinen
	Latridius assimilis	DD (2019)	MX.194449	
uuttunärviäinen	Latridius gemellatus	LC (2019)	MX.194451	uuttunärviäinen
hartianärviäinen	Latridius brevicollis	NT (2019)	MX.194453	hartianärviäinen
haapanärviäinen	Enicmus lundbladi	LC (2019)	MX.194456	haapanärviäinen
sieninärviäinen	Enicmus fungicola	LC (2019)	MX.194457	sieninärviäinen
havunärviäinen	Enicmus planipennis	LC (2019)	MX.194458	havunärviäinen
salonärviäinen	Enicmus apicalis	LC (2019)	MX.194459	salonärviäinen
limasieninärviäinen	Enicmus rugosus	LC (2019)	MX.194460	limasieninärviäinen
	Enicmus clayhillsi		MX.5019190	
	Enicmus testaceus	LC (2019)	MX.194461	
pihanärviäinen	Enicmus transversus	LC (2019)	MX.194463	pihanärviäinen
tarhanärviäinen	Enicmus histrio	LC (2019)	MX.194464	tarhanärviäinen
kääpäkaito	Dienerella vincenti	LC (2019)	MX.194467	kääpäkaito
lehtokaito	Dienerella clathrata	NT (2019)	MX.194469	lehtokaito
	Dienerella ruficollis	NA (2019)	MX.194471	
rohtokaito	Dienerella filiformis	LC (2019)	MX.194472	rohtokaito
	Dienerella argus	NA (2019)	MX.194473	
lesekaito	Dienerella filum	NA (2019)	MX.194474	lesekaito
kellarikaito	Adistemia watsoni	NA (2019)	MX.194478	kellarikaito
niittylymykäs	Stephostethus lardarius	LC (2019)	MX.194481	niittylymykäs
idänlymykäs	Stephostethus attenuatus	DD (2019)	MX.194482	idänlymykäs
sukalymykäs	Stephostethus angusticollis	NT (2019)	MX.194483	sukalymykäs
metsälymykäs	Stephostethus pandellei	LC (2019)	MX.194485	metsälymykäs
lapinlymykäs	Stephostethus cinnamopterus	NT (2019)	MX.194486	lapinlymykäs
pohjanlymykäs	Stephostethus variolosus	LC (2019)	MX.194488	pohjanlymykäs
vaihtolymykäs	Stephostethus alternans	LC (2019)	MX.194489	vaihtolymykäs
havulymykäs	Stephostethus rugicollis	LC (2019)	MX.194490	havulymykäs
pirttilymykäs	Thes bergrothi	LC (2019)	MX.194492	pirttilymykäs
	Cartodere bifasciata	NA (2019)	MX.194497	
paukalymykäs	Cartodere nodifer	LC (2019)	MX.194498	paukalymykäs
puulymykäs	Cartodere constricta	LC (2019)	MX.194499	puulymykäs
	Migneauxia lederi	NA (2019)	MX.193862	
karvanyhäkäs	Corticaria pubescens	LC (2019)	MX.194504	karvanyhäkäs
lapinnyhäkäs	Corticaria dentiventris	NT (2019)	MX.194506	lapinnyhäkäs
mäntynyhäkäs	Corticaria pineti	NT (2019)	MX.194507	mäntynyhäkäs
rantanyhäkäs	Corticaria crenulata	NT (2019)	MX.194508	rantanyhäkäs
tallinyhäkäs	Corticaria fulva	NA (2019)	MX.194509	tallinyhäkäs
ketonyhäkäs	Corticaria umbilicata	LC (2019)	MX.194510	ketonyhäkäs
sarvinyhäkäs	Corticaria aphictoides	LC (2019)	MX.194511	sarvinyhäkäs
	Corticaria impressa	LC (2019)	MX.194513	
kääpänyhäkäs	Corticaria lapponica	LC (2019)	MX.194514	kääpänyhäkäs
numminyhäkäs	Corticaria saginata	LC (2019)	MX.194515	numminyhäkäs
hammasnyhäkäs	Corticaria serrata	LC (2019)	MX.194516	hammasnyhäkäs
